Sonnet,line,sentiment_m,sentiment_v,sentiment_r
1,1,1,0.65285253,0.544380145
1,2,0,0.137459634,0.150255461
1,3,2,0.521743811,0.751276184
1,4,2,0,0.363642375
1,5,2,0.637997847,0.151691193
1,6,0,0.637997847,0.019899268
1,7,0,0.453713671,0.674406583
1,8,0,0.16189451,0.263612003
1,9,2,0.958127018,1.110168374
1,10,0,0.342518837,0.222943962
1,11,2,0,0.12869443
1,12,0,0.453713671,0.767022256
1,13,0,0.135091496,0.147852091
1,14,0,0.092357374,0.692013725
2,1,1,0.006350915,0.245616191
2,2,0,0,0.40284504
2,3,2,0.5131324,0.492612678
2,4,2,0.269537137,1.308436783
2,5,1,0.025511302,0.929883225
2,6,0,0.049515608,0.682951558
2,7,1,0.318622174,0.291928098
2,8,0,0.137782562,0.843171506
2,9,2,0.506350915,1.770573428
2,10,0,0.301614639,0.57887706
2,11,0,0.342518837,0.383691232
2,12,0,0.732831001,0.791181551
2,13,0,0.732831001,0.713961562
2,14,0,0.243595264,0.277141087
3,1,0,0.006350915,0.048407149
3,2,0,0,0.22069099
3,3,1,0.342518837,0.328088641
3,4,0,0.342518837,0.171527567
3,5,0,0.492142088,0.369015589
3,6,0,0.492142088,0.145328342
3,7,0,0.621851453,0.052629453
3,8,0,0.940473628,0.097831716
3,9,1,0.318622174,0.346750924
3,10,1,0.630678149,0.665167047
3,11,1,0.630678149,0.570751891
3,12,1,0,0.608139351
3,13,2,0,0.914121244
3,14,0,0.645209903,0.477590159
4,1,1,0.006350915,0.480723016
4,2,0,0,0.668961993
4,3,1,0,0.22546305
4,4,1,0.549623251,0.234253322
4,5,2,0.741119483,0.854433633
4,6,1,0.191496233,0.773502752
4,7,1,0.388805167,0.954051158
4,8,0,1.098170075,1.631503405
4,9,0,0.978471475,0.853971815
4,10,0,0.352206674,0.377867573
4,11,0,0.083100108,0.204245136
4,12,0,0.294079656,0.163944014
4,13,0,0.336598493,0.010994396
4,14,2,0.630678149,0.343716819
5,1,1,0.467707212,0.207540509
5,2,0,0.224111948,0.61903257
5,3,2,0.332185145,1.477390882
5,4,0,0.393756728,0.258808496
5,5,0,0.027771798,0.610472493
5,6,0,0,0.362259157
5,7,0,0,0.010017002
5,8,0,0.630678149,0.818468234
5,9,0,0.630678149,0.812011291
5,10,0,0.583745963,0.338539059
5,11,0,1.214424112,0.395782345
5,12,0,0.810764263,0.120766145
5,13,2,0.180086114,0.50350683
5,14,0,0.659203445,0.566015876
6,1,1,0.423466093,0.549911213
6,2,0,0.417115178,0.678183786
6,3,2,0.685575888,0.258283287
6,4,2,0.366953714,0.600632861
6,5,2,0.031431647,0.180455123
6,6,0,0.460602799,0.524013217
6,7,0,0.110548977,0.737532008
6,8,0,0.566953714,1.220905585
6,9,0,0,0.143740286
6,10,0,0.566953714,0.696571066
6,11,1,0.645209903,0.453920866
6,12,1,0.645209903,0.191779833
6,13,0,0.342518837,0.131976317
6,14,2,0.342518837,0.584506508
7,1,1,0.593649085,0.440028593
7,2,1,0.6,0.650056806
7,3,1,0,0.536153924
7,4,0,0,0.302710695
7,5,0,0.659203445,0.152932155
7,6,0,0.109580194,0.050248519
7,7,0,0.325080732,0.071425912
7,8,0,0.874703983,0.483467295
7,9,2,0.421851453,0.487268674
7,10,0,0.504951561,0.159805796
7,11,0,0.083100108,0.326843391
7,12,0,0.294079656,0.58471579
7,13,0,0.67459634,0.657344133
