Sonnet,Line,SH_value_m,SL_value_m,SH_value_v,SL_value_v,SH_value_r,SL_value_r
1,1,0,0,0,0,0,0
1,2,0.341640786,0,0.305675315,0,0.569193787,0
1,3,0,0,0,0,0,0
1,4,0.341640786,0,0,0,0,0
1,5,0,0,0.593017005,0,0,0
1,6,0,0,0,0,0,0
1,7,0,0,0,0.105334304,0,0
1,8,0,0,0,0.610818516,0,0.427765599
1,9,0.341640786,0,0,0,0,0
1,10,0.683281573,0,0,0,0,0
1,11,0,0,0,0,0,0
1,12,0,0,0,0.105334304,0,0.444764178
1,13,0,0,0,0,0,1.185476812
1,14,0,0,0,0,0,0.541018684
2,1,0,0,0,0,0,0
2,2,0,0.249390095,0,0.031874083,0,0
2,3,0,0,0.119693154,0,0.291934794,0
2,4,0,0.249390095,0,0,0,0.40400068
2,5,0,0,0,0,0,0
2,6,0,0,0,0,0,0
2,7,0,0.249390095,0,0.031874083,0,0
2,8,0,0.49878019,0,0,0,1.031012107
2,9,0,0,0.668981454,0,0.61712113,0
2,10,0,0,0.073290914,0,0.041509663,0
2,11,0,0,0,0.031874083,0,0
2,12,0,0,1.040890706,0,0.263991655,0
2,13,0,0,0,0.031874083,0,0
2,14,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
3,5,0,0,0.229361288,0,0,0
3,6,0,0,0,0,0,0
3,7,0,0,0.616491224,0,0,0
3,8,0,0,0,0.190441764,0,0
3,9,0,0,0,0,0,0
3,10,0.961161351,0,0.642835336,0,1.01523664,0
3,11,0.549509757,0,0,0,0.494761649,0
3,12,1.510671108,0,0,0,1.610596039,0
3,13,0,0,0,0,0.266821189,0
3,14,0,0,0,1.165173901,0,0.628817918
4,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,3,0,0,0,0,0,0
4,4,1.157277487,0,0.41126874,0,0,0
4,5,0,0,0,0,0,0.218024716
4,6,0,0,0,0,0,0
4,7,0,0,0,0.542434742,0,0.665502334
4,8,0,0,0.914055613,0,1.378073972,0
4,9,0,0,0,0.165683391,0.6396337,0
4,10,0,0,0,0,0,0
4,11,0,0,0,0,0,0
4,12,0,0,0,0,0,0
4,13,0,0,0.666389033,0,0,0
4,14,1.157277487,0,0,0,0,0
5,1,0,0,0,0,0,0
5,2,0.58113883,0,0.363042792,0,0.684112882,0
5,3,0,0,0,0,0,0.547716951
5,4,0,0,0,0,0,0.529283786
5,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
5,7,0,0,0,0,0,0
5,8,0,0,0.181829488,0,0.329913569,0
5,9,0,0,0,0,0,0
5,10,0,0,0,1.078853923,0,0.186944353
5,11,0,0,0.181829488,0,0,0
5,12,0,0,0,0,0,0
5,13,0.58113883,0,0,0,0,0
5,14,1.16227766,0,0.258418843,0,0.75426843,0
6,1,0,0,0,0,0,0
6,2,0,0.51636508,0,0,0,0
6,3,0,0,0.555824746,0,0,0
6,4,0,0.51636508,0.105029932,0,0,0
6,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
6,8,0,0,0.230422941,0,1.011685662,0
6,9,0,0,0.460845881,0,1.706162553,0
6,10,0,0,0,0,0.863433289,0
6,11,0,0,0,1.094758304,0,0
6,12,0,0,0,0.419590635,0,0
6,13,0,0,0,0,0,0
6,14,0,0.51636508,0,0,0,0.41987919
7,1,0,0,0,0,0,0
7,2,0,0,0,0,0,0.105997858
7,3,0,0,0,0,0,0
7,4,0,0,0,0,0,0
7,5,0,0,0.333650252,0,0.257300709,0
7,6,0,0,0.36631581,0,0.634335879,0
7,7,0,0,1.291882915,0,1.18156797,0
7,8,0,0,0,0,0.576772148,0
7,9,0,0.114941219,0,0.635690884,0,0
7,10,0,0.229882439,0,0,0,0.146674367
7,11,0,0.344823658,0,0,0,0
7,12,0,0.459764877,0,0.284739183,0,0.761144476
7,13,0,0.574706097,0,0,0,0
7,14,0,0.689647316,0,0,0,0
8,1,0,0,0,0,0,0
8,2,0.114941219,0,0,0.894819974,0.678670064,0
8,3,0,0,0,0.649889504,0,0
8,4,0,0,0,0,0,0
8,5,0.114941219,0,0,0,0,0
8,6,0,0,0,0,0,0.037829353
8,7,0,0,0.399434287,0,0,0.001660281
8,8,0,0,0,0,0,0
8,9,0.114941219,0,0,0,0,0
8,10,0.229882439,0,0,0.004094706,0,0
8,11,0.344823658,0,0.256269034,0,0.671662016,0
8,12,0.459764877,0,0.403044509,0,0.749116543,0
8,13,0,0,0,0,0,0
8,14,0,0,0,0,0,0
9,1,0,0,0,0,0,0
9,2,0,0,0,0,0,0
9,3,0,0,0,0.0697977,0,0
9,4,0,0,0.151937334,0,0,0
9,5,0,0,0,0.006194001,0,0
9,6,0,0,0,0,0,0
9,7,0,0,0,0,0,0
9,8,0.820930936,0,0,0,0,0
9,9,1.641861872,0,0,0,0,0
9,10,2.462792808,0,0.855047318,0,1.442340893,0
9,11,0.855815829,0,0,0.006194001,0.619380422,0
9,12,0,0,0,0.268190515,0,0.159212138
9,13,0,0,0.377672645,0,0,0
9,14,0,0,0,0,0,0.192484635
10,1,0,0,0,0,0,0
10,2,0,0,0,0,0,0
10,3,0.292486066,0,0.290519241,0,0.459653376,0
10,4,0,0,0,0,0,0
10,5,0,0,0,1.046372849,0,0.488543562
10,6,0,0,0,0.592691786,0,0
10,7,0,0,0,0.341500953,0,0
10,8,0,0,0,0,0,0
10,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0.147104085
10,11,0.292486066,0,0.527369858,0,0.614492278,0
10,12,0.584972132,0,0,0,0.073931673,0
10,13,0.877458198,0,0.124225451,0,0,0
10,14,1.169944265,0,0.114681451,0,0.459797266,0
11,1,0,0,0,0,0,0
11,2,0,0,0,0,0,0
11,3,0,0,0,0,0,0
11,4,0,0,0,0,0,0
11,5,0,0,0.838559403,0,0.740115251,0
11,6,0,0.411773158,0,0.045666774,0,0.636611686
11,7,0,0.823546315,0,0,0,0
11,8,0,1.235319473,0,0,0,0
11,9,0,0.484455912,0,0,0,0
11,10,0,0.89622907,0,0.749454557,0,1.13938696
11,11,0,0,0.330331761,0,0.340550743,0
11,12,0,0,0.737515227,0,0.045220304,0
11,13,0,0,0,0,0,0
11,14,0,0,0,0.497399264,0,0
12,1,0,0,0,0,0,0
12,2,0,0,0.027829106,0,0,0.502320844
12,3,0,0,0,0,0.050559752,0
12,4,0,0,0,0,0,0
12,5,0,0,0,0,0,0
12,6,1.288585537,0,0,0,0,0
12,7,0,0,0,0,0,0
12,8,0,0,0,0,0,0
12,9,0,0,0.191567383,0,0.404897999,0
12,10,0,0,0,0,0,0.456713544
12,11,0,0,0.68693099,0,0,0
12,12,0,0,0,1.086793772,0,0.660915096
12,13,0,0,0,0.161708776,0,0.816356872
12,14,1.288585537,0,0.68693099,0,0,0
13,1,0,0,0,0,0,0
13,2,0,0.08012345,0,0.320189762,0,0
13,3,0,0.160246899,0,0,0,0
13,4,0.08012345,0,0,0,0,0
13,5,0,0,0.03341851,0,0,0
13,6,0.08012345,0,0,0,0,0.069852967
13,7,0.160246899,0,0,0,0,0
13,8,0.240370349,0,0.285113851,0,0.034847833,0
13,9,0,0.08012345,0,0,0,0.7630251
13,10,0.08012345,0,0,0,0,0
13,11,0,0.08012345,0,0,0,0
13,12,0,0.160246899,0,0.991548559,0,0.429815596
13,13,0,0.240370349,0.020576911,0,0.12011573,0
13,14,0.08012345,0,0,0,0,0
14,1,0,0,0,0,0,0
14,2,0,0,0,0,0,0
14,3,0,0,0,0,0,0
14,4,0,0.527525232,0,0.116540055,0,0
14,5,0,0,0,0,0,0.254252683
14,6,0,0.527525232,0,0,0,0
14,7,0,0,0,0,0,0
14,8,0,0,0.599668474,0,0.323670068,0
14,9,0,0,0,0,0,0
14,10,0.527525232,0,0,0,0.864636224,0
14,11,1.055050463,0,1.396948845,0,1.696974372,0
14,12,1.582575695,0,0.114549094,0,0.424901308,0
14,13,0.582575695,0,0,0,0,0
14,14,0,0.527525232,0,0.763800494,0,0.188179903
15,1,0,0,0,0,0,0
15,2,0,0.01695036,0,0,0.355866408,0
15,3,0,0,0,0,0,0
15,4,0,0,0,0,0,0
15,5,0,0,0,0,0,0
15,6,0,0,0.27325121,0,0,0
15,7,0,0.01695036,0,0,0,0
15,8,0,0.033900719,0.334230052,0,0,0
15,9,0,0.050851079,0,0,0,0.768743447
15,10,0.571650556,0,0.605794212,0,1.060044961,0
15,11,0,0.01695036,0,1.182847763,0,0.241397332
15,12,0,0.033900719,0,0.843496975,0,0.193317658
15,13,0.571650556,0,0,0.211750746,0,0.130396393
15,14,1.143301112,0,0,0,0,0
16,1,0,0,0,0,0,0
16,2,0,0.961161351,0,1.01859535,0,1.281967412
16,3,0,0,0,1.137320127,0,0.499719553
16,4,0,0,0.36285241,0,0.225762291,0
16,5,0,0,0.807945913,0,0.94774373,0
16,6,0,0,0,0,0,0
16,7,0,0,0.579930645,0,0.188268791,0
16,8,0,0,0,0,0.188640887,0
16,9,0,0,0,0,0,0
16,10,0,0,0,0,0,0
16,11,0,0,0,0.084298274,0,0
16,12,0,0.961161351,0,0,0,0
16,13,0,0,0,0,0,0
16,14,0,0,0,0,0,0
17,1,0,0,0,0,0,0
17,2,0,0,0,0,0,0
17,3,0,0.154700538,0,0,0,0
17,4,0,0.309401077,0,0.024296513,0,0.378318784
17,5,0,0,0.220724285,0,0.514498992,0
17,6,0,0,0.591351766,0,0.381866954,0
17,7,0,0.154700538,0,0.740304717,0,0.487176165
