Sonnet,line,sentiment_m,sentiment_v,sentiment_r
1,3,1.658312395,1.996715385,1.879980167
1,4,0.808561538,1.361054713,1.321371627
1,5,1.242851902,1.096330877,1.476074388
1,6,0.788356123,1.802771023,1.542958213
1,7,0.5,1.656227563,1.684446174
1,8,0.279145263,1.063791952,1.168464456
1,9,0.080582296,0.558419856,0.660959613
1,10,0.487088187,0.904584136,1.007820923
1,11,0.948683298,1.03922698,1.334118254
1,12,0.87038828,1.305216655,1.766283778
1,13,0.809173594,1.02592003,1.252569014
2,3,1.502135232,1.176596324,0.14937281
2,4,0.637414789,0.375909417,0.405361635
2,5,1.016878829,0.312888001,0.126032337
2,6,0.952982739,0.249191035,0.035648082
2,7,0.944911183,0.150058783,0.209625382
2,8,1.48131216,0.430674214,0.285085294
2,9,1.984313483,0.576403399,0.934591819
2,10,1.539600718,0.107016585,0.436774546
2,11,1.30585725,0.01080197,0.346614437
2,12,1.155771193,0.398261088,0.575976945
2,13,1.048808848,0.576126143,0.084770289
3,3,0.626783171,0.248851632,0.151828522
3,4,0.154418287,0.119502955,0.064783989
3,5,0.127342908,0.020851476,0.048258867
3,6,0.344265186,0.379759287,0.328935353
3,7,0.55215763,0.288026862,0.476997912
3,8,0.789542034,0.764269802,0.599438685
3,9,1.107823419,0.409167742,0.849151767
3,10,0.942809042,0.363663202,0.826414828
3,11,0.32163376,1.049877221,0.202784944
3,12,0.154418287,1.16983467,0.05627882
3,13,0.856348839,1.490583799,1.163838017
4,3,0.626783171,0.332374451,0.052783545
4,4,0.154418287,0.347625831,0.164127779
4,5,0.595604336,0.14790392,0.436114844
4,6,0.344265186,0.134591176,0.028339266
4,7,0.55215763,0.213298022,0.216771517
4,8,0.37032804,0.652735343,0.231408636
4,9,0.213200716,0.111774935,0.417790912
4,10,0.056512059,0.467914733,0.529050302
4,11,0.127342908,0.548800949,0.360804261
4,12,0.390881552,0.816455264,0.369281932
4,13,0.894427191,0.757062413,0.191014429
5,3,2.140872096,1.273215506,1.193230407
5,4,1.106743142,1.142724657,0.183779622
5,5,0.644503387,0.686703123,0.167502972
5,6,0.370991117,0.442616904,0.04648763
5,7,0.171498585,0.269091951,0.162614271
5,8,0,0.125898405,0.28378575
5,9,0.171498585,0.460721377,0.072818447
5,10,0.370991117,0.334759314,0.050976093
5,11,0.644503387,0.30590139,0.452590785
5,12,1.106743142,0.097554031,0.692281808
5,13,2.140872096,0.408144049,1.383697023
6,3,1.996734282,1.04111929,0.671374381
6,4,0.993232231,0.093584257,0.192817929
6,5,1.560065004,0.100944363,0.361549857
6,6,1.012048627,0.275399333,0.384801655
6,7,0.688972818,0.086091452,0.098770369
6,8,0.45661166,0.001679328,0.280348973
6,9,0.261116484,0.335820867,0.262807888
6,10,0.069006556,0.759653271,0.833939392
6,11,0.155612489,0.732890083,1.018867125
6,12,0.031349657,0.013710618,0.824225506
6,13,0.436852028,0.156852676,0.882337806
7,3,0.489897949,0.378647496,0.361391629
7,4,0.771333121,0.085315542,0.193732822
7,5,1.022925614,0.084298107,0.130347661
7,6,1.323448205,0.313306243,0.493087214
7,7,1.766904417,0.59705234,0.911966557
7,8,2.629502941,1.304699485,1.60383858
7,9,5.303300859,1.11840603,1.932869246
7,10,2.357022604,0.576931329,1.558975684
7,11,1.765045216,0.561248143,1.135734538
7,12,1.475132358,0.479250927,1.200212202
7,13,1.294924426,0.049257219,0.515364339
8,3,0.080321933,2.099238292,0.03777341
8,4,0.324442842,1.990232146,0.27655507
8,5,0.602515734,1.327879848,0.545365857
8,6,0.193649167,0.793068026,0.353888307
8,7,0.454405812,1.050996634,0.641229074
8,8,0.741249317,0.550218897,0.955570266
8,9,1.123902974,0.602251314,0.991182506
8,10,0.759072115,0.333420781,0.700149704
8,11,0.443577652,0.738778198,0.891146643
8,12,0.087649634,0.353247007,0.337717979
8,13,0.489897949,0.133709,0.122777551
9,3,0.647905804,0.276529514,0.187817716
9,4,0.6883951,0.645057861,0.157984369
9,5,0.737864787,0.138719229,0.439560432
9,6,0.800326731,0.422600662,0.614264457
9,7,0.882918713,0.503756589,0.557483312
9,8,0.890870806,0.227325242,0.300715116
9,9,0.332956046,0.145294741,0.060406884
9,10,0.175549452,0.063378301,0.155614306
9,11,0.737864787,0.548489571,1.095180078
9,12,0.6883951,0.248521405,1.484812257
9,13,0.647905804,0.344784109,1.182286327
10,3,0.920158743,0.725252006,0.992932298
10,4,0.149637568,0.001810234,0.102884205
10,5,0.401677156,0.179202202,0.353617469
10,6,0.621059003,0.811394417,0.799175846
10,7,0.858332508,0.952578808,0.763891351
10,8,1.16397539,1.238809028,0.986377084
10,9,1.636634177,1.047439882,0.999632485
10,10,1.635259635,1.39726243,0.987021051
10,11,2.518710471,1.15036022,1.819317833
10,12,1.884242169,0.640335985,1.136525645
10,13,1.573485525,1.266087532,1.273565702
11,3,0.362142984,0.130910117,0.316558476
11,4,0.644530855,0.137151337,0.429936615
11,5,0.878310066,0.072021143,0.331434661
11,6,1.138230381,0.623701768,0.868349564
11,7,0.561951487,0.277075747,0.304559376
11,8,0.15430335,0.236968987,0.260625508
11,9,0.225876976,0.207068434,0.388629495
11,10,0.315064732,0.183947299,0.281215837
11,11,0.878310066,0.366607456,0.386886283
11,12,0.644530855,0.085148981,0.065745269
11,13,0.362142984,0.929508506,0.478568389
12,3,0.215665546,0.325879267,0.617324578
12,4,0.039088155,0.066777589,0.024590462
12,5,0.194325083,0.083996713,0.174100176
12,6,0.319546092,0.199201299,0.060427792
12,7,0.327326835,0.305591678,0.129425747
12,8,0.18516402,0.419254572,0.384294304
12,9,0.053760333,0.556328743,0.499680566
12,10,0.086066297,0.227143582,1.045617293
12,11,0.260010834,0.400201578,0.584987188
12,12,0.521462144,0.187119675,0.837351601
12,13,1.039230485,0.921928471,0.182860965
13,3,0.59805036,0.088602955,0.971482063
13,4,0.915697916,0.155907954,0.414258477
13,5,0.355218605,0.072103878,0.444296117
13,6,0.315224184,0.368220967,0.660938961
13,7,0,0.279743072,0.301215045
13,8,0.289177616,0.123170002,0.072082354
13,9,0.613940614,0.488308359,0.359424293
13,10,0.315224184,0.406904433,0.131613028
13,11,0.744793247,0.71789795,0.071119124
13,12,0.431946548,0.623872923,0.054870271
13,13,0,0.24986459,0.722260315
14,3,0,0.294001138,0.563655036
14,4,0,0.057556662,0.605185664
14,5,0.510075476,0.417682725,0.814017548
14,6,0.451848057,0.457439934,1.223572835
14,7,0.91914503,0.511700119,1.305093493
14,8,0.898177426,0.295516388,1.146795781
14,9,0.91914503,0.134402497,0.678482612
14,10,0.988406313,0.061685117,0.560022767
14,11,0.510075476,0.022148852,0.000909767
14,12,0,1.000493233,0.758061342
14,13,0.868243142,1.21624572,0.887149065
15,3,0.404061018,0.040417692,1.26012549
15,4,0.182149665,0.042681272,1.056406386
15,5,0.05994009,0.251145388,0.744385962
15,6,0.026631182,0.064775054,0.489490223
15,7,0.1,0.286423543,0.599199726
15,8,0.171920477,0.4327419,0.599650224
15,9,0.46291005,0.872116884,0.733145763
15,10,0.842439696,0.69365275,0.22006673
15,11,0.365148372,1.58706825,1.020508223
15,12,0.899027571,0.69431838,0.644490602
15,13,2.118988673,0.568347402,0.340791459
16,3,1.61245155,1.312030568,1.993300882
16,4,0.728500193,1.580070624,1.490033851
16,5,0.32163376,0.657601099,0.660424979
16,6,0.056512059,0.14072003,0.06279427
16,7,0.213200716,0.174972151,0.061124698
16,8,0,0.249501424,0.25691339
16,9,0.213200716,0.211114292,0.552536689
16,10,0.464794315,0.179054565,0.449618509
16,11,0.32163376,0.149813271,0.449222678
16,12,0.154418287,0.246226786,0.161753378
16,13,0.856348839,0.427300446,0.010864497
17,3,0.156173762,0.529733087,0.249020058
17,4,0.585707413,0.264034836,0.097284926
17,5,0.923380517,0.569001974,0.372442845
17,6,0.516397779,0.136071774,0.110681587
17,7,0.23570226,0.24493212,0.343455783
17,8,0.558290526,0.224064883,0.062507274
17,9,0.316227766,0.123860351,0.198102357
17,10,0.708491908,0.012590551,0.17532841
17,11,1.161895004,0.345734554,0.405801483
17,12,1.044465936,0.017251535,0.504229084
17,13,0.957427108,0.296348207,0.758648567
18,3,1.087460332,0.273914959,0.877742207
18,4,0.324442842,0.564157854,0.318459534
18,5,0.096448564,0.142775348,0.068364933
18,6,0.416102736,0.430719379,0.083187813
18,7,0.732922043,0.136907638,0.162683591
18,8,1.12815215,0.46547138,0.639371123
18,9,1.766904417,0.479211128,0.718720707
18,10,1.323448205,0.221864975,0.394876848
18,11,1.022925614,0.661156808,0.548956481
18,12,0.771333121,1.183350152,0.954824401
18,13,0.489897949,1.071017929,1.100676599
19,3,0.866025404,0.164610846,0.188748701
19,4,0.936281676,0.318001493,0.003070861
19,5,1.027872433,0.114451379,0.215975999
19,6,0.860613215,0.278439927,0.403041417
19,7,0.654930538,0.137479495,0.193767178
19,8,0.507092553,0.364775768,0.193033475
19,9,0.77151675,0.360289273,0.698944514
19,10,1.151299351,0.269108009,0.663696572
19,11,1.840715973,0.257585164,0.839088896
19,12,1.119532583,0.254845079,1.000371264
19,13,0.483368245,0.108379545,0.761113846
