Sonnet,type,MD_m,MD_v,MD_r,Cusum_m,Cusum_v,Cusum_r,CD_m,CD_v,CD_r
1,novel,"3, 4, 5, 9, 11",9,9,10,8,13,3,3,3
2,shadow,"3, 4, 9","12, 13",9,8,12,8,9,3,9
3,shadow,13,8,13,12,14,12,9,13,13
4,hybrid,"5, 14",8,8,4,8,8,13,12,10
5,hybrid,"3, 13",11,3,14,10,14,13,3,13
6,novel,"3, 4, 5, 14",3,8,2,11,9,3,3,11
7,hybrid,9,8,13,14,7,7,9,8,9
8,shadow,"2, 3, 5, 6, 9",11,2,12,2,12,9,3,9
9,novel,11,11,11,10,10,10,8,4,12
10,hybrid,"3, 4, 11",12,11,14,5,11,11,10,11
11,novel,"6, 11",11,11,8,5,10,6,13,6
12,hybrid,"6, 7, 14",12,10,6,12,13,13,13,10
13,novel,"4, 9, 10, 11, 14",13,9,13,12,9,4,11,3
14,hybrid,"4, 5, 6, 7, 10, 13, 14","11, 12",12,12,11,11,10,13,7
15,hybrid,"10, 11, 13",11,10,14,11,10,13,11,3
16,hybrid,"3, 13",4,3,2,3,2,3,4,3
17,hybrid,"2, 3, 5, 7, 8, 9, 11",7,5,4,7,10,11,5,13
18,hybrid,"3, 9",2,3,8,2,2,9,12,13
19,hybrid,"11, 13, 14",8,14,12,8,14,11,8,12
20,novel,14,9,5,13,14,14,9,13,13
21,hybrid,"9, 11, 14",11,11,10,11,14,9,11,13
22,hybrid,"3, 5, 13",5,2,4,9,5,13,5,12
23,hybrid,"9, 12, 13",11,6,14,11,6,13,11,6
24,novel,13,"4, 5",2,14,4,4,13,12,13
25,novel,"3, 5, 6, 9, 10, 13","13, 14",13,14,5,5,3,6,6
26,shadow,"5, 7, 14","7, 8",12,6,12,3,13,10,7
27,hybrid,3,9,12,2,12,12,3,9,12
28,shadow,"9, 13",14,3,12,6,9,9,3,9
29,hybrid,"1, 10, 11",5,5,14,6,4,11,5,5
30,hybrid,13,7,11,14,13,14,13,3,13
31,novel,10,3,3,6,2,2,13,3,13
32,hybrid,"7, 8, 9, 10, 14",13,4,7,2,4,13,7,7
33,shadow,"5, 9, 11, 13",9,9,8,8,6,5,5,5
34,novel,13,12,12,14,4,13,13,12,12
35,hybrid,"2, 9, 11, 13",8,14,10,8,11,13,12,9
36,novel,"2, 3, 5, 6, 7, 8, 13",11,13,14,13,10,13,13,13
37,hybrid,"3, 4",4,4,3,3,3,6,13,11
38,novel,"2, 4, 5, 7, 8",7,4,4,7,7,8,13,9
39,hybrid,"3, 9, 10",5,12,6,9,9,10,5,5
40,novel,"9, 10, 14",7,7,9,10,6,13,7,7
41,hybrid,"1, 4, 7",11,4,6,12,3,7,7,3
42,novel,"2, 3, 5",7,7,4,7,14,13,7,13
43,novel,"13, 14",14,2,13,11,7,13,10,7
44,hybrid,"7, 9",14,3,4,14,3,9,13,13
45,hybrid,"7, 9, 13",7,9,8,8,14,13,10,13
46,novel,"7, 8","4, 5, 13, 14",14,14,7,14,5,11,12
47,hybrid,"3, 5",8,3,4,9,3,5,10,12
48,novel,"6, 7, 8",8,8,14,8,7,6,8,13
49,shadow,"9, 11, 12, 13",3,3,10,2,2,9,3,3
