Sonnet,line,sentiment_m,sentiment_v,sentiment_r
1,1,1,0.652853,0.544380145
1,2,1,0.515393,0.694635605
1,3,-1,-0.00635,-0.056640579
1,4,1,-0.00635,0.307001796
1,5,-1,0.631647,0.155310603
1,6,-1,-0.00635,0.135411336
1,7,-1,-0.46006,-0.538995247
1,8,-1,-0.62196,-0.802607251
1,9,1,0.336168,0.307561124
1,10,1,-0.00635,0.084617162
1,11,-1,-0.00635,-0.044077269
1,12,-1,-0.46006,-0.811099525
1,13,-1,-0.32497,-0.958951616
1,14,-1,-0.41733,-0.266937891
2,1,-1,-0.00635,-0.245616191
2,2,-1,-0.00635,0.157228849
2,3,1,0.506781,0.649841527
2,4,-1,0.237244,-0.658595256
2,5,0,0.262756,0.27128797
2,6,0,0.312271,-0.411663588
2,7,-1,-0.00635,-0.11973549
2,8,-1,0.131432,-0.962906996
2,9,1,0.637783,0.807666433
2,10,1,0.336168,0.228789373
2,11,1,-0.00635,-0.154901859
2,12,1,0.72648,0.636279692
2,13,1,-0.00635,-0.07768187
2,14,1,0.237244,0.199459217
3,1,0,-0.00635,0.048407149
3,2,0,-0.00635,0.269098139
3,3,-1,0.336168,-0.058990502
3,4,-1,-0.00635,0.112537066
3,5,-1,0.485791,-0.256478523
3,6,-1,-0.00635,-0.111150181
3,7,-1,0.615501,-0.058520728
3,8,-1,-0.32497,-0.156352444
3,9,0,-0.00635,0.190398479
3,10,1,0.624327,0.855565526
3,11,0,-0.00635,0.284813635
3,12,1,-0.00635,0.892952985
3,13,-1,-0.00635,-0.021168258
3,14,-1,-0.65156,-0.498758417
4,1,-1,-0.00635,-0.480723016
4,2,-1,-0.00635,0.188238977
4,3,0,-0.00635,-0.037224073
4,4,1,0.543272,0.197029248
4,5,-1,-0.19785,-0.657404385
4,6,0,-0.00635,0.116098368
4,7,-1,-0.39516,-0.837952791
4,8,-1,0.703014,0.793550615
4,9,-1,-0.27546,-0.0604212
4,10,-1,0.076749,-0.438288773
4,11,-1,-0.00635,-0.234043636
4,12,-1,0.287729,-0.39798765
4,13,-1,0.624327,-0.408982046
4,14,1,-0.00635,-0.065265227
5,1,1,0.467707,0.207540509
5,2,1,0.691819,0.82657308
5,3,-1,0.359634,-0.650817803
5,4,-1,-0.03412,-0.392009306
5,5,-1,-0.00635,0.218463187
5,6,-1,-0.00635,-0.14379597
5,7,-1,-0.00635,-0.153812972
5,8,-1,0.624327,0.664655262
5,9,-1,-0.00635,-0.147356029
5,10,-1,-0.5901,-0.485895089
5,11,-1,0.624327,-0.090112744
5,12,-1,-0.18644,-0.210878889
5,13,1,-0.00635,0.292627941
5,14,1,0.652853,0.858643818
6,1,-1,-0.42347,-0.549911213
6,2,-1,-0.00635,0.128272573
6,3,1,0.679225,0.38655586
6,4,-1,0.312271,-0.214077001
6,5,1,0.343703,-0.033621878
6,6,1,-0.1169,0.490391339
6,7,1,-0.00635,-0.24714067
6,8,1,0.560603,0.973764916
6,9,1,0.560603,0.83002463
6,10,1,-0.00635,0.133453564
6,11,0,-0.65156,-0.320467302
6,12,1,-0.00635,-0.12868747
6,13,1,0.336168,0.003288848
6,14,-1,-0.00635,-0.58121766
7,1,1,0.593649,0.440028593
7,2,0,-0.00635,-0.210028213
7,3,1,-0.00635,0.326125711
7,4,1,-0.00635,0.628836406
7,5,1,0.652853,0.781768561
7,6,1,0.543272,0.83201708
7,7,1,0.868353,0.903442992
7,8,1,-0.00635,0.419975697
7,9,-1,-0.4282,-0.067292977
7,10,-1,0.076749,-0.227098773
7,11,-1,-0.00635,0.099744617
7,12,-1,-0.30043,-0.484971173
7,13,-1,0.374166,0.17237296
7,14,-1,-0.00635,-0.057216003
8,1,-1,-0.46006,-0.646648759
8,2,1,-0.79096,0.961943336
8,3,-1,-0.2845,-0.235660094
8,4,-1,0.21141,-0.313332703
8,5,1,0.447363,0.34502229
8,6,-1,-0.32497,-0.367293605
8,7,-1,0.672874,-0.331084711
8,8,-1,-0.00635,0.124229378
8,9,1,0.487513,0.609374036
8,10,1,-0.39516,0.024744414
8,11,1,0.609257,0.958514159
8,12,1,0.560603,0.667756672
8,13,0,-0.00635,0.059035621
8,14,-1,-0.00635,0.110915761
9,1,-1,-0.538,-0.529155739
9,2,-1,-0.00635,-0.068794399
9,3,-1,-0.65156,-0.7279217
9,4,-1,0.382454,-0.81028446
9,5,-1,-0.62196,-0.708323662
9,6,-1,-0.32497,-0.354643723
9,7,0,0.287729,0.018902545
9,8,1,-0.00635,0.038513324
9,9,1,-0.00635,-0.024988964
9,10,1,0.709688,0.757058453
9,11,-1,-0.62196,-0.29730386
9,12,-1,-0.74101,-0.919249099
9,13,-1,0.487513,-0.754945685
9,14,-1,-0.50022,-0.934735456
10,1,-1,-0.08945,-0.633638484
10,2,-1,-0.00635,-0.219910665
10,3,1,0.74747,0.807898367
10,4,-1,-0.00635,-0.401797916
10,5,-1,-0.62196,-0.76087891
10,6,-1,-0.00635,0.001901404
10,7,-1,-0.08945,-0.326437567
10,8,-1,0.426265,0.045052425
10,9,0,-0.00635,0.144747884
10,10,-1,0.560603,-0.579194137
10,11,1,0.844672,0.890290336
10,12,1,-0.00635,0.275670365
10,13,1,0.679225,0.385068297
10,14,1,0.624327,0.807974933
11,1,1,-0.00635,0.37673394
11,2,0,-0.00635,0.116486168
11,3,1,0.336168,0.345736241
11,4,1,-0.00635,0.071870827
11,5,1,0.918407,0.956769057
11,6,-1,-0.43897,-0.698043527
11,7,-1,-0.00635,0.036590604
11,8,-1,-0.00635,0.316425227
11,9,0,-0.00635,-0.113081975
11,10,-1,-0.77018,-0.94443563
11,11,1,0.679225,0.760956843
11,12,1,0.715393,0.449334316
11,13,0,-0.00635,-0.010619771
11,14,1,-0.65156,-0.208707267
12,1,0,-0.00635,0.013362528
12,2,-1,0.560603,-0.620441082
12,3,-1,-0.00635,0.234987719
12,4,-1,-0.00635,0.083328967
12,5,-1,-0.00635,-0.226162583
12,6,1,-0.00635,-0.027079607
12,7,-1,-0.00635,0.199391352
12,8,-1,-0.00635,0.00536905
12,9,-1,0.624327,0.353720708
12,10,-1,-0.00635,-0.605158817
12,11,-1,0.817115,-0.029001271
12,12,-1,-0.65156,-0.673583439
12,13,-1,0.131432,-0.504207543
12,14,1,0.817115,0.156945083
13,1,0,0.850377,0.707688576
13,2,-1,-0.32497,-0.114587188
13,3,-1,-0.00635,-0.398192054
13,4,1,0.487513,0.04492291
13,5,0,0.661464,0.290443828
13,6,1,0.131432,-0.592658462
13,7,1,-0.00635,-0.480773604
13,8,1,0.766954,0.385068545
13,9,-1,0.074381,-0.914667707
13,10,1,0.525296,0.218008889
13,11,-1,-0.00635,-0.132682686
13,12,-1,-0.60635,-0.759877092
13,13,-1,0.656082,0.424679271
13,14,1,-0.00635,-0.016672568
14,1,0,-0.00635,-0.210487421
14,2,0,-0.00635,0.097581013
14,3,0,0.198278,-0.039354305
14,4,-1,-0.24995,-0.190211291
14,5,0,-0.00635,-0.352495655
14,6,-1,-0.00635,-0.002560976
14,7,0,0.287729,0.257377487
14,8,0,0.543272,0.673464923
14,9,0,-0.00635,0.343523292
14,10,1,-0.00635,0.8887584
14,11,1,0.776103,0.875904425
14,12,1,-0.00635,0.038391764
14,13,0,-0.00635,-0.000293647
14,14,-1,-0.43897,-0.326200039
15,1,0,-0.00635,0.244753459
15,2,-1,0.347901,0.41750036
15,3,0,0.171798,0.124457211
15,4,0,-0.00635,-0.04850758
15,5,0,0.336168,-0.115638973
15,6,0,0.543272,0.16344845
15,7,-1,0.336168,0.042852527
15,8,-1,0.560603,0.136424589
15,9,-1,-0.00635,-0.474433219
15,10,1,0.637783,0.618511215
15,11,-1,-0.43897,-0.323899959
15,12,-1,-0.00635,-0.241267479
15,13,1,0.076749,-0.237030882
15,14,1,-0.00635,0.119303192
16,1,0,-0.00635,-0.196265331
16,2,-1,-0.84413,-0.941331547
16,3,1,-0.43897,0.010358937
16,4,1,0.678364,0.675880101
16,5,1,0.715393,0.904658101
16,6,0,-0.00635,0.106904262
16,7,1,0.776103,0.658594013
16,8,1,-0.00635,0.571965695
16,9,1,-0.00635,-0.093039706
16,10,0,-0.00635,0.034128567
16,11,0,-0.42347,-0.324199759
16,12,-1,-0.00635,-0.069356027
16,13,1,-0.00635,-0.022403627
16,14,1,0.487513,0.234632608
17,1,-1,-0.00635,0.351296208
17,2,1,-0.00635,-0.14982397
17,3,-1,0.3,-0.104602876
17,4,-1,-0.19785,-0.647673137
17,5,1,0.624327,0.698850948
17,6,1,0.679225,0.397629929
17,7,-1,-0.46006,-0.698343141
17,8,1,0.652853,0.443409916
17,9,-1,-0.00635,-0.063512108
17,10,-1,0.578579,-0.860104533
17,11,1,-0.22411,-0.017456683
17,12,1,-0.00635,-0.051470774
17,13,1,0.560603,-8.76902E-05
17,14,1,-0.00635,0.616416594
18,1,1,-0.00635,-0.06433637
18,2,1,0.665339,0.916407713
18,3,-1,0.506781,-0.239373036
18,4,-1,-0.00635,-0.360014388
18,5,-1,0.543272,0.306306489
18,6,-1,-0.00635,-0.3049866
18,7,-1,0.593649,-0.655422313
18,8,-1,0.262756,-0.001624785
18,9,1,-0.00635,0.58901873
18,10,1,0.586868,-0.042749984
18,11,1,0.515393,-0.178869117
18,12,1,-0.00635,0.243621379
18,13,0,-0.00635,0.16117298
18,14,1,-0.00635,0.840238826
19,1,-1,-0.00635,-0.236233467
19,2,-1,0.487513,0.369273501
19,3,-1,0.382454,-0.129262024
19,4,-1,-0.00635,-0.254643617
19,5,0,0.426265,-0.268439251
19,6,0,-0.00635,0.249626322
19,7,0,0.525296,-0.004315276
19,8,-1,-0.91582,-0.645457329
19,9,-1,0.336168,0.093557084
19,10,-1,0.23423,-0.082265312
19,11,1,0.237244,0.026129682
19,12,1,0.525296,0.370468971
19,13,-1,-0.40538,-0.417466179
19,14,1,0.679225,0.932789679
20,1,0,0.525296,-0.037810311
20,2,1,0.487513,0.634817982
20,3,1,0.250054,-0.001845533
20,4,1,-0.00635,-0.416741663
20,5,1,0.524004,0.658123059
20,6,1,-0.00635,0.17508396
20,7,1,-0.00635,0.196936773
20,8,1,-0.55597,-0.403077658
20,9,0,0.262756,0.122187459
20,10,-1,-0.00635,-0.031045241
20,11,-1,-0.51948,-0.699483983
20,12,-1,-0.00635,-0.280367476
20,13,-1,0.672874,-0.195676297
20,14,1,0.801615,0.807350972
21,1,0,-0.00635,-0.099296596
21,2,-1,0.624327,0.194477844
21,3,-1,0.543272,0.015404136
21,4,-1,0.593649,0.220235386
21,5,-1,0.506781,0.114528894
21,6,-1,0.593649,0.76305917
21,7,-1,-0.00635,0.421378615
21,8,-1,0.410118,0.559097426
21,9,1,0.865554,0.504770787
21,10,1,0.809473,0.790950362
21,11,-1,-0.50581,-0.131825174
21,12,-1,-0.00635,0.517208621
21,13,-1,0.635737,-0.027861112
21,14,1,-0.48525,-0.462264608
22,1,1,-0.00635,-0.585752007
22,2,1,-0.00635,0.383867979
22,3,-1,-0.00635,0.172225422
22,4,-1,-0.65156,-0.057817653
22,5,1,0.624327,0.604249474
22,6,1,-0.00635,0.048213746
22,7,1,-0.00635,0.222375872
22,8,1,-0.00635,-0.159372069
22,9,1,0.679225,0.220134832
22,10,1,-0.00635,0.215524479
22,11,1,-0.00635,0.464155384
22,12,1,-0.46006,-0.1953627
22,13,-1,-0.00635,-0.389672559
22,14,-1,-0.00635,-0.14818688
23,1,-1,-0.00635,-0.674130213
23,2,-1,-0.538,-0.176530506
23,3,-1,-0.60635,-0.766986708
23,4,-1,-0.34887,-0.2921857
23,5,-1,-0.29505,-0.640687754
23,6,-1,0.609257,0.956542342
23,7,-1,0.131432,-0.464084225
23,8,-1,-0.48041,0.187075078
23,9,1,-0.00635,0.445240658
23,10,0,-0.55597,-0.884167748
23,11,1,0.679225,-0.107267514
23,12,-1,-0.00635,0.271717409
23,13,1,0.679225,0.204187029
23,14,1,0.21141,0.481459371
24,1,0,0.359634,0.052717578
24,2,1,-0.00635,0.85822196
24,3,1,-0.00635,0.146423257
24,4,1,0.679225,0.909674152
24,5,1,-0.00635,0.509292393
24,6,1,-0.00635,0.07810149
24,7,1,-0.00635,-0.002238803
24,8,1,-0.00635,0.066765531
24,9,1,0.467707,0.710876869
24,10,1,-0.00635,0.508240856
24,11,1,-0.00635,0.180072542
24,12,1,0.487513,0.374095155
24,13,-1,0.506781,-0.053284923
24,14,-1,-0.00635,-0.064737657
25,1,1,0.426265,0.412795916
25,2,1,0.793434,0.519988232
25,3,-1,0.506781,0.66298573
25,4,-1,0.844672,0.909057152
25,5,1,0.906566,0.889396158
25,6,-1,-0.00635,0.158900866
25,7,-1,-0.1169,-0.80984315
25,8,-1,-0.1169,-0.299569821
25,9,1,-0.27546,-0.581802966
25,10,-1,-0.00635,-0.113072094
25,11,-1,0.525296,-0.078817989
25,12,-1,-0.00635,-0.683659543
25,13,1,0.966954,0.986272977
25,14,1,-0.00635,-0.336893952
26,1,1,0.679225,0.748283718
26,2,1,0.638859,0.281196524
26,3,1,-0.00635,-0.476857719
26,4,1,-0.00635,-0.014177033
26,5,-1,0.104736,0.393273511
26,6,-1,-0.00635,-0.078901266
26,7,1,0.883961,0.777941143
26,8,1,-0.00635,0.395333329
26,9,1,-0.00635,0.285061728
26,10,1,0.72648,0.710428288
26,11,1,0.638859,-0.248582492
26,12,1,0.898062,0.871288106
26,13,1,0.679225,0.852197378
26,14,-1,-0.00635,-0.040708251
27,1,-1,-0.30043,0.005603532
27,2,-1,-0.08945,-0.240656445
27,3,1,-0.00635,0.082346415
27,4,1,-0.00635,-0.081425513
27,5,0,-0.00635,0.148027534
27,6,1,0.131432,-0.001140034
27,7,0,-0.00635,0.343584196
27,8,-1,-0.62196,-0.30993634
27,9,0,0.525296,-0.123952014
27,10,1,-0.00635,0.121203663
27,11,1,0.652853,-0.337956613
27,12,1,0.577395,0.718667932
27,13,0,-0.00635,0.131786891
27,14,-1,-0.32497,0.420066308
28,1,-1,0.609257,0.358471762
28,2,-1,0.487513,0.169497394
28,3,-1,-0.24693,-0.775685312
28,4,-1,-0.68558,-0.436608241
28,5,0,-0.538,-0.172122133
28,6,-1,-0.62196,-0.731309611
28,7,-1,-0.39516,-0.408901379
28,8,-1,-0.00635,-0.067949628
